state,extension,timestamp,gpsCorrelTimestampFlags,gpsCorrelTimestampTow,gpsCorrelTimestampWeekNum,scaledAccelX,scaledAccelY,scaledAccelZ,scaledGyroX,scaledGyroY,scaledGyroZ,estFilterGpsTimeTow,estFilterGpsTimeWeekNum,estOrientQuaternionX,estOrientQuaternionY,estOrientQuaternionZ,estOrientQuaternionW,estPressureAlt,estFilterState,estFilterDynamicsMode,estFilterStatusFlags,estAttitudeUncertQuaternionX,estAttitudeUncertQuaternionY,estAttitudeUncertQuaternionZ,estAttitudeUncertQuaternionW,estAngularRateX,estAngularRateY,estAngularRateZ,estCompensatedAccelX,estCompensatedAccelY,estCompensatedAccelZ
TEST_STATE,0.5,1726608208442335488,6,304.4750061,0,-0.07324886322,0.135198459,1.010117531,-0.005880150944,0.04849761352,0.5333653092,,,,,,,,,,,,,,,,,,,,
TEST_STATE,0.5,1726608208443339520,6,304.4760132,0,-0.04843559489,0.1835335642,0.9563435316,-0.005118768662,0.04051423445,0.583420217,,,,,,,,,,,,,,,,,,,,
TEST_STATE,0.5,1726608208445400064,,,,,,,,,,304.4760132,0,0.005056054331,-0.6497120857,-0.7599316835,-0.01877743937,68.47835541,2,1,0,0.0008659150335,0.01238147356,0.01055775862,0.0007575341733,0.004223885946,0.05770571902,0.4966816902,-2.268744469,-2.06988287,9.237731934
TEST_STATE,0.5,1726608208444342784,6,304.4769897,0,-0.1156167537,-0.1088460833,0.9946431518,-0.01798351482,0.0462013036,0.6474631429,,,,,,,,,,,,,,,,,,,,
TEST_STATE,0.5,1726608208445345024,6,304.4779968,0,-0.193544805,-0.06299489737,1.015567183,-0.02342430875,0.05051971972,0.6933378577,,,,,,,,,,,,,,,,,,,,
TEST_STATE,0.5,1726608208447400448,,,,,,,,,,304.4779968,0,0.005101034883,-0.6501216888,-0.7595803142,-0.01880525053,68.47835541,2,1,0,0.0008659150335,0.01238147356,0.01055775862,0.0007575341733,-0.005379390903,0.03496680036,0.5837592483,-0.369648844,2.735880852,9.732645988
TEST_STATE,0.5,1726608208446346496,6,304.4790039,0,-0.07388515025,0.1059710383,1.023600221,-0.02104634605,0.04868141562,0.7222489715,,,,,,,,,,,,,,,,,,,,
TEST_STATE,0.5,1726608208447347200,6,304.480011,0,-0.02709997818,0.03842356801,0.9685590267,-0.0247617662,0.04574114457,0.7424659133,,,,,,,,,,,,,,,,,,,,
TEST_STATE,0.5,1726608208449399040,,,,,,,,,,304.480011,0,0.005135263316,-0.6506093144,-0.7591615319,-0.01884078421,68.47835541,2,1,0,0.0008659150335,0.01238147356,0.01055775862,0.0007575341733,-0.02482215129,0.04916526005,0.7025384903,-1.968826532,-1.612204075,10.04158878
TEST_STATE,0.5,1726608208448347136,6,304.4809875,0,-0.1988481581,-0.02426321059,0.9758756161,-0.03068649583,0.03637495637,0.7597693801,,,,,,,,,,,,,,,,,,,,
TEST_STATE,0.5,1726608208449346048,6,304.4819946,0,-0.2073617876,-0.04946471006,1.094279528,-0.04799951613,0.0289364662,0.7767910361,,,,,,,,,,,,,,,,,,,,
TEST_STATE,0.5,1726608208451396096,,,,,,,,,,304.4819946,0,0.00516889384,-0.6511579156,-0.7586897612,-0.0188847743,68.47835541,2,1,0,0.0008659150335,0.01238147356,0.01055775862,0.0007575341733,-0.02162054181,0.04331067577,0.7451455593,0.02439794503,1.024670839,9.621461868
TEST_STATE,0.5,1726608208450343936,6,304.4830017,0,-0.1673125923,-0.03690201044,1.139751792,-0.08106771857,0.02976908162,0.8052495718,,,,,,,,,,,,,,,,,,,,
TEST_STATE,0.5,1726608208451341056,6,304.4840088,0,-0.1229668334,-0.06005769596,1.077992082,-0.110170424,0.014503574,0.8251071572,,,,,,,,,,,,,,,,,,,,
TEST_STATE,0.5,1726608208453391104,,,,,,,,,,304.4840088,0,0.005187444389,-0.6517344117,-0.7581934333,-0.01892833598,68.47835541,2,1,0,0.0008659150335,0.01238147356,0.01055775862,0.0007575341733,-0.04503024742,0.02492608503,0.7763565183,-2.554446459,-0.6359345317,10.54309177
TEST_STATE,0.5,1726608208452337152,6,304.4849854,0,0.009297631681,0.03932912275,0.9775981307,-0.122224316,-0.006625095382,0.8370201588,,,,,,,,,,,,,,,,,,,,
TEST_STATE,0.5,1726608208453337088,6,304.4859924,0,0.17272228,0.0558347255,0.8257878423,-0.1418299675,-0.03118522093,0.8497827649,,,,,,,,,,,,,,,,,,,,
TEST_STATE,0.5,1726608208455389184,,,,,,,,,,304.4859924,0,0.005166095681,-0.6523423195,-0.7576687932,-0.01899740472,68.47835541,2,1,0,0.0008659150335,0.01238147356,0.01055775862,0.0007575341733,-0.1136990935,0.01516046561,0.8277081847,-1.159881115,-0.5084866881,10.82347679
TEST_STATE,0.5,1726608208454336000,6,304.4869995,0,0.1962503344,-0.1009228081,0.755859375,-0.1632714421,-0.06540747732,0.8620311618,,,,,,,,,,,,,,,,,,,,
TEST_STATE,0.5,1726608208455333888,6,304.4880066,0,0.2028313726,-0.2229731381,0.7225137353,-0.1965987384,-0.1013697907,0.8547050357,,,,,,,,,,,,,,,,,,,,
